specialization, responsibilities, requirements, terms, skills, notes
Вахта Маляр металлоконструкций,"Требуется Маляр металлоконструкций. Проезд, проживание, питание.  Вахта 60/30 Прямой работодатель.   Обязанности: - Окраска металлоконструкций - Работа с различными типами красок","Опыт работы в сфере окраски металлоконструкций  - Умение работать с различными типами красок. В нашей компании действует акция &quot;ПРИВЕДИ ДРУГА&quot;, премия 4000 руб  Мы ждем соискателя на должность:  «Маляр с опытом работы в окраске металлоконструкций» : Код вакансии: M7149175213973","Бесплатные обеды  - Официальное трудоустройство, соц. пакет  - Работа вахтовым методом: 60/30 дней и тд. на ваш выбор.  - Медкомиссия за счет работодателя  - Бесплатное проживание, заселение в день приезда  - Выплаты з/п 2 раза в месяц на карту без задержек  - Выдача спецодежды; - Мы прямой работодатель и не берем денег за трудоустройство. ","Опыт работы в сфере окраски металлоконструкций, умение работать с различными типами красок",
Вахта Маляр металлоконструкций,"Проезд, проживание, питание.  Вахта 60/30 Прямой работодатель.Требуется Маляр металлоконструкций.  Обязанности: - Окраска металлоконструкций - Работа с многокомпонентной краской","Умение работать с многокомпонентной краской  - Опыт работы в сфере окраски металлоконструкций. В нашей компании действует акция &quot;ПРИВЕДИ ДРУГА&quot;, премия 4000 руб  Мы ждем соискателя на должность:  «Маляр с опытом работы в окраске металлоконструкций» : Код вакансии: M7149175213974","Бесплатные обеды  - Официальное трудоустройство, соц. пакет  - Работа вахтовым методом: 60/30 дней и тд. на ваш выбор.  - Медкомиссия за счет работодателя  - Бесплатное проживание, заселение в день приезда  - Выплаты з/п 2 раза в месяц на карту без задержек  - Выдача спецодежды; - Мы прямой работодатель и не берем денег за трудоустройство. ","Опыт работы в сфере окраски металлоконструкций, умение работать с многокомпонентной краской",
Монтажник окон пвх,Компания Окна Лидер в связи с увеличением объёма работ ищет монтажника светопрозрачных конструкций.,Реальный опыт монтажа оконных систем и отделки балконов/лоджий от 3-х лет. Ответственность. Вежливое общение с клиентами. Дисциплинированное отношение к рабочему времени. Отсутствие неконтролируемой зависимости от вредных привычек.,,,
Сантехник,Компания Сантехника в связи с увеличением объёма работ ищет сантехника для установки и ремонта водопровода и канализации.,Реальный опыт работы с водопроводом и канализацией от 3-х лет. Ответственность. Вежливое общение с клиентами. Дисциплинированное отношение к рабочему времени. Отсутствие неконтролируемой зависимости от вредных привычек.,,,
Ремонтник зданий,Компания Ремонт зданий в связи с увеличением объёма работ ищет ремонтника зданий для проведения ремонтных работ.,Реальный опыт ремонта зданий от 3-х лет. Ответственность. Вежливое общение с клиентами. Дисциплинированное отношение к рабочему времени. Отсутствие неконтролируемой зависимости от вредных привычек.,,,
Вахта Маляр металлоконструкций,"Проезд, проживание, питание. Требуется  ",-    Обязанности: - Аккуртаная работа  - Работать с многокомпонентной краской  ,"- Умение работать с многокомпонентной краской  - Минимальный опыт  В нашей компании действует акция ""ПРИВЕДИ ДРУГА"", премия 4000 руб  Мы ждем соискателя на должность: «Маляр» : Код вакансии: V6143698443615 Имя менеджера: Евгения Мы выдаем: Рабочуая одежда Модель рабочей одежды:л31-КБР",,
Сварщик металлоконструкций,"Проезд, проживание, питание. Требуется  ",-    Обязанности: - Аккуратная работа с сварочным оборудованием  - Работать с металлоконструкциями  ,"- Умение работать с металлоконструкциями  - Минимальный опыт  В нашей компании действует акция ""ПРИВЕДИ ДРУГА"", премия 4000 руб  Мы ждем соискателя на должность: «Сварщик» : Код вакансии: S6143698443615 Имя менеджера: Евгения Мы выдаем: Рабочуая одежда Модель рабочей одежды:л31-КБР",,
Вахта Маляр металлоконструкций,"Проезд, проживание, питание. Требуется  ",-    Обязанности: - Тщательное нанесение краски на металлоконструкции  - Работа с кистями и валиками  ,"- Опыт работы маляром металлоконструкций  - Умение работать с красками  В нашей компании действует акция ""ПРИВЕДИ ДРУГА"", премия 4000 руб  Мы ждем соискателя на должность: «Маляр» : Код вакансии: V6143698443615 Имя менеджера: Евгения Мы выдаем: Рабочуая одежда Модель рабочей одежды:л31-КБР",,
Вахта Маляр металлоконструкций,"Проезд, проживание, питание. Требуется  ",-    Обязанности: - Выполнение работ по покраске металлических конструкций  - Работа с профильными материалами  ,"- Опыт работы маляром металлоконструкций  - Знание профильных материалов  В нашей компании действует акция ""ПРИВЕДИ ДРУГА"", премия 4000 руб  Мы ждем соискателя на должность: «Маляр» : Код вакансии: V6143698443615 Имя менеджера: Евгения Мы выдаем: Рабочуая одежда Модель рабочей одежды:л31-КБР",,
Специалист по строительству,Обязанности:  — Ведение строительных работ на объектах компании — Разработка и согласование технических условий для строительства — Контроль за выполнением строительных работ — Решение технических вопросов и устранение проблем на стройке,Требования:  — Наличие высшего или среднего специального технического образования — Опыт работы в строительстве от 2 лет,"Условия: — Официальное трудоустройство и соцпакет — График работы 5/2 с 9:00 до 18:00 — Адрес офиса: г. Москва, ул. Ленина, д. 10 — Профессиональный рост и развитие — Молодой и дружный коллектив — Достойная заработная плата","Ключевые навыки: знание строительных технологий, умение читать и понимать чертежи, организаторские способности, коммуникабельность",
Инженер,Обязанности:  — Ремонтно-настроечные работы на местах/дистанционно на элементах сети и оборудовании — Разработка и согласование технических условий подключения к услугам компании — Работы по активации/деактивации услуг (дистанционно) — Аварийно-восстановительные работы на элементах сети и оборудовании​​​​​​​,Требования:  — Среднее специальное техническое образование — Опыт работы в сфере связи/телекоммуникаций будет преимуществом,"Условия: Работа в Ростелекоме — это официальное оформление и широкий соцпакет, а ещё уникальная среда и возможность отточить свое мастерство на масштабных проектах, которыми можно гордиться — Стабильный и прозрачный доход 30 000 ₽ с первого месяца: оклад + ежемесячные премии — Пятидневная рабочая неделя с 8:00 до 17:00 — Адрес офиса: Калачинск, Советская улица, 20 — Профессиональный рост: реальная возможность получить повышение или горизонтальную ротацию в первый год благодаря опытным коллегам, наставникам и бесплатным консультациям с менторами и карьерными консультантами — Медстраховка после испытательного срока (телемедицина), жилищная и пенсионная программы, дополнительные выплаты (к отпуску, вступление в брак, рождение ребенка), помощь корпоративного психолога и юриста. — Насыщенная жизнь внутри компании: спортивные события и турниры, лидерские программы, киберспорт, конкурсы и яркие праздники, волонтерство и благотворительность — Скидки на услуги Ростелекома, выгодные предложения от партнеров: рестораны и магазины, фитнес-центры, банки, отели и базы отдыха",,
Инженер,Обязанности:  — Выверка на территории объектов компании — Разработка и согласование технических условий подключения к услугам компании — Работы по активации/деактивации услуг (дистанционно) — Аварийно-восстановительные работы на элементах сети и оборудовании​​​​​​​,Требования:  — Высшее или среднее специальное техническое образование — Опыт работы в области строительства и проектирования от 2 лет,"Условия: Работа в Ростелекоме — это официальное оформление и широкий соцпакет, а ещё уникальная среда и возможность отточить свое мастерство на масштабных проектах, которыми можно гордиться — Стабильный и прозрачный доход 30 000 ₽ с первого месяца: оклад + ежемесячные премии — Пятидневная рабочая неделя с 8:00 до 17:00 — Адрес офиса: Калачинск, Советская улица, 20 — Профессиональный рост: реальная возможность получить повышение или горизонтальную ротацию в первый год благодаря опытным коллегам, наставникам и бесплатным консультациям с менторами и карьерными консультантами — Медстраховка после испытательного срока (телемедицина), жилищная и пенсионная программы, дополнительные выплаты (к отпуску, вступление в брак, рождение ребенка), помощь корпоративного психолога и юриста. — Насыщенная жизнь внутри компании: спортивные события и турниры, лидерские программы, киберспорт, конкурсы и яркие праздники, волонтерство и благотворительность — Скидки на услуги Ростелекома, выгодные предложения от партнеров: рестораны и магазины, фитнес-центры, банки, отели и базы отдыха","Ключевые навыки: знание строительных технологий, умение читать и понимать чертежи, организаторские способности, коммуникабельность",
Строитель-монтажник вахта,"На Мосты требуется Строитель-монтажник. Прямой работодатель. ЗП 80 т.р. НАКС 100 т.р. Проезд, проживание, питание. Вахта 60/30. Обязанности: - Установка и монтаж конструкций и оборудования на объекте. - Соблюдение режима работы. - Работа на основе разработанного плана.",Требования: - Опыт работы в строительстве и монтаже конструкций и оборудования. - Разряд 3-4. - Умение читать чертежи и схемы. - Без вредных привычек.,"Условия: - Выплаты на карту без задержек. - Униформу предоставляем бесплатно. - Бесплатные обеды прямо на месте работы. - Проживание в новом общежитии. Проживание НЕ удерживается, все условия для отдыха холодильники, TV, Wi-Fi (больше подробностей узнавайте у менеджера). - Возможна подработка на вахте (оплачиваемые переработки). - З/П Строитель-монтажник 80 000 руб. НАКС 100 000 руб. - Работа вахтовым методом: 30/30, 60/30 дней и тд. по желанию. - Оплачиваем билет до места работы. - Официальное трудоустройство, соц. пакет.",Ключевые навыки: - Умение читать чертежи и схемы. - Опыт работы в строительстве и монтаже конструкций и оборудования.,"Примечания: В нашей компании действует акция &quot;ПРИВЕДИ ДРУГА&quot;, премия 4000 руб (если вы приезжаете с другом на вакансию и он отрабатывает не менее 10 смен). Можете сообщить знакомым и друзьям, о наборе специалистов в нашу компанию!"
Электрогазосварщик вахта,"На Мосты требуется Электрогазосварщик вахта. Прямой работодатель. ЗП 80 т.р. НАКС 100 т.р. Проезд, проживание, питание. Вахта 60/30. Обязанности: - Работа с ручной дуговой сваркой и не только (подробности расскажет мастер). - Монтаж и сварка трубопроводов. - Соблюдение режима сварки. - Работа на основе разработанного плана.",Требования: - Умение работы ручной дуговой сваркой. - Удостоверение работы сварщиком НАКС будет преимуществом. - Знание работы на полуавтоматах и их настройки. - Разряд 3-4. - Опыт работы сварщиком.,"Условия: - Выплаты на карту без задержек. - Униформу предоставляем бесплатно. - Бесплатные обеды прямо на месте работы. - Проживание в новом общежитии. Проживание НЕ удерживается, все условия для отдыха холодильники, TV, Wi-Fi (больше подробностей узнавайте у менеджера). - Возможна подработка на вахте (оплачиваемые переработки). - З/П Электрогазосварщик 80 000 руб. НАКС 100 000 руб. - Работа вахтовым методом: 30/30, 60/30 дней и тд. по желанию. - Оплачиваем билет до места работы. - Официальное трудоустройство, соц. пакет.",Ключевые навыки: - Работа с ручной дуговой сваркой. - Знание работы на полуавтоматах и их настройки.,"Примечания: В нашей компании действует акция &quot;ПРИВЕДИ ДРУГА&quot;, премия 4000 руб (если вы приезжаете с другом на вакансию и он отрабатывает не менее 10 смен). Можете сообщить знакомым и друзьям, о наборе специалистов в нашу компанию!"
Электромонтажник вахта,"На Мосты требуется Электромонтажник вахта. Прямой работодатель. ЗП 80 т.р. НАКС 100 т.р. Проезд, проживание, питание. Вахта 60/30. Обязанности: - Монтаж и ремонт электрооборудования. - Работа с электронными схемами и чертежами. - Соблюдение режима работы. - Работа на основе разработанного плана.",Требования: - Опыт работы в монтаже и ремонте электрооборудования. - Знание электронных схем и чертежей. - Умение читать схемы. - Разряд 3-4. - Без вредных привычек.,"Условия: - Выплаты на карту без задержек. - Униформу предоставляем бесплатно. - Бесплатные обеды прямо на месте работы. - Проживание в новом общежитии. Проживание НЕ удерживается, все условия для отдыха холодильники, TV, Wi-Fi (больше подробностей узнавайте у менеджера). - Возможна подработка на вахте (оплачиваемые переработки). - З/П Электромонтажник 80 000 руб. НАКС 100 000 руб. - Работа вахтовым методом: 30/30, 60/30 дней и тд. по желанию. - Оплачиваем билет до места работы. - Официальное трудоустройство, соц. пакет.",Ключевые навыки: - Умение читать схемы. - Опыт работы в монтаже и ремонте электрооборудования.,"Примечания: В нашей компании действует акция &quot;ПРИВЕДИ ДРУГА&quot;, премия 4000 руб (если вы приезжаете с другом на вакансию и он отрабатывает не менее 10 смен). Можете сообщить знакомым и друзьям, о наборе специалистов в нашу компанию!"
Строительный инженер,"Требуются строительные инженеры на объекты в Донецк. Организация строительного процесса, контроль за соблюдением технических норм и правил, взаимодействие с подрядчиками и заказчиками.","Высшее образование по специальности, опыт работы на аналогичной должности не менее 3 лет, знание программных продуктов AutoCAD, MS Office, владение нормативно-технической документацией.","Официальное трудоустройство по трудовому договору с заработной платой от 60 000 рублей в месяц, включая надбавки. Оплата проезда в обе стороны за счет фирмы. График работы 5/2, с 9:00 до 18:00. Корпоративные обеды.","Владение программными продуктами AutoCAD и MS Office, знание нормативной документации, опыт работы на аналогичной должности",Опыт работы на объектах строительства важен
Штукатур маляр,"Требуются штукатуры маляры на объекты во Львов. Окраска стен, штукатурка, подготовка поверхности перед работой.","Опыт работы на аналогичной должности не менее 2 лет, наличие необходимых инструментов и спецодежды, умение читать чертежи и схемы.","Официальное трудоустройство по трудовому договору с заработной платой от 25 000 рублей в месяц. График работы 6/1, с 8:00 до 17:00. Компенсация проезда на работу и обратно. Корпоративные обеды.","Опыт работы на аналогичной должности, умение читать чертежи и схемы",Наличие собственных инструментов и спецодежды обязательно
Штукатур маляр Вахта Донецк,"Требуются штукатуры маляры на объекты в Донецк. Окраска стен, штукатурка, подготовка поверхности перед работой.","Опыт работы на аналогичной должности не менее 2 лет, наличие необходимых инструментов и спецодежды, умение читать чертежи и схемы.","Официальное трудоустройство по трудовому договору с заработной платой от 35 000 рублей в месяц. График работы 3/1, с 8:00 до 20:00. Компенсация проезда на работу и обратно. Проживание и питание предоставляются бесплатно. Выплаты еженедельные. Спецодежда выдается.","Опыт работы на аналогичной должности, умение читать чертежи и схемы",Наличие собственных инструментов и спецодежды обязательно
Строительный инженер,Расчет и проектирование несущих конструкций зданий и сооружений. Разработка технических решений по укреплению фундамента и устойчивости конструкций. Оценка качества выполненных работ.,Высшее техническое образование по специальности Строительство и проектирование зданий и сооружений. Опыт работы в расчете и проектировании не менее 3 лет. Знание программных комплексов для расчета конструкций.,"График работы 5/2, с 9:00 до 18:00. Оформление по ТК РФ. Оплата проезда на работу и обратно. Работа в офисе в Москве.",Навыки расчета и проектирования несущих конструкций. Знание программных комплексов для расчета конструкций.,Вакансия открыта в крупной строительной компании.
Автокрановщик,Вождение автокрана &quot;Камаз-Челябинец&quot; на строительных площадках. Обеспечение безопасности при выполнении крановых работ. Уход за техническим состоянием крана.,Наличие водительского удостоверения категории С. Опыт работы на автокране не менее 2 лет. Знание правил и инструкций по безопасности при работе с краном.,"Вахта 30/30 в г. Усинск, республика Коми. Проживание, питание и проезд за счет организации. Заработная плата выплачивается без задержек.",Навыки вождения автокрана. Знание правил и инструкций по безопасности при работе с краном.,
Автокадровик,Разработка чертежей строительных конструкций и схем оборудования. Работа в программных комплексах AutoCAD и ArchiCAD. Техническая поддержка проекта на всех этапах.,Высшее или среднее профессиональное техническое образование по специальности Строительство и проектирование зданий и сооружений. Опыт работы в программных комплексах AutoCAD и ArchiCAD от 1 года.,"График работы 5/2, с 9:00 до 18:00. Оформление по ТК РФ. Работа в офисе в Москве.",Навыки работы в программных комплексах AutoCAD и ArchiCAD.,
Строитель,"В связи со значительным увеличением объёма строительных работ, открыт набор сотрудников. Обязанности: Работы по ремонту строительного оборудования и инструментов",Опыт работы на аналогичной должности не менее 3 лет — Удостоверение/запись в трудовой книжке от соответствующей организации — Отсутствие ограничений по здоровью в соответствии со специальностью,"Рабочее место на объекте строительства — Повременно-премиальная &quot;белая&quot; оплата труда от 90 000 руб/мес на руки за дневные смены, работа в ночное время с доплатой 40% — Своевременная выплата заработной платы, БЕЗ задержек — График работы 6/1 по 11 часов — Официальное трудоустройство согласно ТК РФ — Спецодежда и СИЗ предоставляются, — На объекте имеется столовая и оборудованные места для приема пищи — Для иногороднего персонала предоставляется жильё — Проезд до места выполнения работ и мед.осмотр обеспечивается за счет работодателя",,Изменен текст вакансии для должности строителя
Слесарь-ремонтник,Требуется слесарь-ремонтник на предприятие. Обязанности: Ремонт промышленных машин и оборудования,Опыт работы на аналогичной должности не менее 3 лет — Удостоверение/запись в трудовой книжке от 4 разряда — Отсутствие ограничений по здоровью в соответствии со специальностью,"Рабочее место на предприятии — Повременная &quot;белая&quot; оплата труда — Своевременная выплата заработной платы, БЕЗ задержек — График работы 6/1 по 8 часов — Официальное трудоустройство согласно ТК РФ — Спецодежда и СИЗ предоставляются, — На производстве имеется столовая и оборудованные места для приема пищи — Для иногороднего персонала предоставляется жильё — Проезд до места выполнения работ и мед.осмотр обеспечивается за счет работодателя",,Переформулирован текст вакансии для должности слесаря-ремонтника
Слесарь-ремонтник,"В связи со значительным увеличением объёма производства, открыт набор сотрудников на должность слесарь-ремонтник. Обязанности: Ремонт промышленных машин и оборудования",Опыт работы на аналогичной должности не менее 3 лет — Удостоверение/запись в трудовой книжке от 4 разряда — Отсутствие ограничений по здоровью в соответствии со специальностью,"Рабочее место на предприятии — Повременная &quot;белая&quot; оплата труда — Своевременная выплата заработной платы, БЕЗ задержек — График работы 6/1 по 8 часов — Официальное трудоустройство согласно ТК РФ — Спецодежда и СИЗ предоставляются, — На производстве имеется столовая и оборудованные места для приема пищи — Для иногороднего персонала предоставляется жильё — Проезд до места выполнения работ и мед.осмотр обеспечивается за счет работодателя",,Переформулирован текст вакансии для должности слесаря-ремонтника
Строительство дорог,"Требуется маляр для окраски металлических элементов дорожных конструкций. Вахта 60/30. Проезд, проживание, питание предоставляются. Работа в команде с дорожными рабочими. Аккуратное выполнение работ по окраске, подготовка поверхности к покраске, соблюдение технологии нанесения краски.","Умение работать с многокомпонентной краской, опыт в малярных работах.","Выплаты з/п 2 раза в месяц на карту без задержек. Мы прямой работодатель и не берем денег за трудоустройство. Бесплатное проживание, заселение в день приезда. Работа вахтовым методом: 60/30 дней и т.д. на ваш выбор. Бесплатные обеды. Официальное трудоустройство, соц. пакет. Медкомиссия за счет работодателя. Выдача спецодежды.","опыт работы маляром, знание основ малярных работ и навыки подготовки поверхности к покраске","Минимальный опыт. В нашей компании действует акция ""ПРИВЕДИ ДРУГА"", премия 4000 руб."
Вахта Маляр металлоконструкций,"Требуется Маляр металлоконструкций. Вахта 60/30. Проезд, проживание, питание. Выполнение работ по покраске металлических конструкций, соблюдение технологии нанесения краски, уход за инструментом.","Опыт малярных работ, умение работать с многокомпонентной краской.","Выплаты з/п 2 раза в месяц на карту без задержек. Мы прямой работодатель и не берем денег за трудоустройство. Бесплатное проживание, заселение в день приезда. Работа вахтовым методом: 60/30 дней и т.д. на ваш выбор. Бесплатные обеды. Официальное трудоустройство, соц. пакет. Медкомиссия за счет работодателя. Выдача спецодежды.","опыт работы маляром, знание основ малярных работ и навыки подготовки поверхности к покраске","Минимальный опыт. В нашей компании действует акция ""ПРИВЕДИ ДРУГА"", премия 4000 руб."
Инженер-сметчик,"В крупную строительную компанию АСГ-Констракшн, работающую более 16 лет на рынке в сфере строительства крупных объектов, требуется инженер-сметчик. Основные обязанности: составление смет на строительство зданий и сооружений, участие в проектных работах, контроль за расходованием материалов и соблюдением бюджета. ","Опыт работы не менее 2-х лет, глубокие знания в области строительства, умение работать с проектной документацией, знание современных тенденций и особенностей рынка. ","Предоставляемую спецодежду и инструмент, оплату 2 раза в месяц и возможность авансирования, а также график работы 5/2 с возможностью удаленной работы. ","Знание ПК и программного обеспечения для оценки сметной стоимости, навыки работы с бухгалтерскими программами и изучение документации. ","Требуется наличие высшего технического образования, а также желание и готовность к самостоятельному обучению новым технологиям и методикам работы. Возможно командирование на объекты строительства в других городах России. "
Монтажник систем кондиционирования,"В крупную строительную компанию АСГ-Констракшн, работающую более 16 лет на рынке в сфере строительства жилых и офисных зданий, требуются монтажники систем кондиционирования. Основные обязанности: установка, наладка и обслуживание систем кондиционирования в помещениях любой сложности.","Опыт работы на аналогичной должности не менее 3-х лет, знание принципов работы систем кондиционирования, умение читать и понимать технические чертежи и документацию, наличие профессиональных навыков в работе с инструментом и оборудованием.","Предоставляем жилье и спецодежду, оплату 2 раза в месяц на карту, график работы 5/2 с возможностью отгулов, стабильную работу и развитие карьеры внутри компании.","Знание технологий монтажа и настройки систем кондиционирования, опыт работы с разными типами оборудования, знание норм и правил по охране труда и технике безопасности.",Командировки на объекты строительства в других городах возможны. Требуется наличие профессионального образования в области монтажа и наладки кондиционеров. 
Машинист грунтового катка,Требуется,машинист грунтового катка. Опыт работы и знание техники приветствуется.,"Работа на строительных объектах СПБ и Ленобласти, по 8-12 часов в день. Возможны командировки по согласованию. В случае командировок, предоставляется проживание и командировочные. Оплата 400₽/ч.",,
Плотник,Требуется,Опыт работы на строительных объектах. Опыт работы с деревом. Умение работать с инструментами.,"Работа на строительных объектах СПБ и Ленобласти, по 8-12 часов в день. Возможны командировки по согласованию. В случае командировок, предоставляется проживание и командировочные. Оплата 450₽/ч.",,
Слесарь по металлоконструкциям,Требуется,Опыт работы в сборке и монтаже металлоконструкций. Знание технологии сборки конструкций. Умение работать с инструментами.,"Работа на строительных объектах СПБ и Ленобласти, по 8-12 часов в день. Возможны командировки по согласованию. В случае командировок, предоставляется проживание и командировочные. Оплата 500₽/ч.",,
Слесарь по ремонту оборудования,"Капитальный ремонт, сборка, наладка сложного оборудования; Испытание, регулировка и сдача после ремонта; ремонт(механика, гидравлика)",,"Оплата 340/час дневные смены, на 20% больше ночные. Жилье квартиры, вахта 60/30.",,
Инженер по строительному оборудованию,"Монтаж, пуско-наладка и техническое обслуживание строительного оборудования; Контроль качества установленного оборудования; Разработка технологических процессов",,"Оплата 400/час дневные смены, на 20% больше ночные. Жилье квартиры, вахта 30/15.",,
Специалист по механике и гидравлике,"Обслуживание, наладка и ремонт механизмов и гидравлических систем; Выполнение диагностики и профилактического обслуживания; Разработка и внедрение новых технологических процессов",,"Оплата 380/час дневные смены, на 20% больше ночные. Жилье квартиры, вахта 45/15.",,
Монтажник нт,📢Срочно требуются Монтажник НТ для строительства складского комплекса в области строительства зданий и сооружений. Бесплатное проживание и оплата проезда предоставляются. Суточные и своевременные выплаты гарантированы. От 108 тысяч в месяц.,"Требуется опыт работы бетонщиком, каменщиком, слесарем, сварщиком, токарем или фрезеровщиком не менее 2 лет (подтвержденный записями в трудовой книжке). Приветствуется опыт работы от 4 разряда.","Комфортное место проживания, спецодежда и питание предоставляются бесплатно. Официальное оформление по ТК РФ. Покупаем билет за счет компании из вашего города до места работы. Вахтовый метод на выбор 60/30 или 90/30. График работы 6/1. Стабильные выплаты зарплаты 2 раза в месяц. Ставка за смену от 3700 р.",,
